mensagem;label
A gente não cansa de amar, cansa de não ser amado.;0
A gratidão é a memória do coração.;0
Não importa o que você decidiu. O que importa é que isso te faça feliz.;0
Não importa o que você decidiu. O que importa é que isso te faça feliz.;0
Falo nada, só observo.;0
Aqui se faz, aqui se paga.;0
Obrigado Deus pelo dia de hoje!;0
O segredo é ter fé em Deus;0
As crises não afastam os amigos. Apenas selecionam.;0
Insista, persista e nunca desista.;0
Queira o bem. Faça o bem. O resto vem.;0
Família: base de tudo.;0
Valorize-se. É grátis!;0
Se for pra desistir, desista de ser fraco.;0
Faça valer a pena, as oportunidades não voltam.;0
Deixe que sua fé seja maior que seus problemas.;0
Coisas boas levam tempo.;0
Seja feliz. Não aceite menos que isso.;0
Tire o dia para sorrir.;0
Amanhã será um dia melhor!;0
Aprendi o que era certo, com a pessoa errada.;0
Faz bem ser o bem de alguém.;0
A medida do amor é amar sem medida.;0
Chorar litros, sorrir mares.;0
Sem sacrifício não há vitória.;0
Se é para ter crise, que seja de riso.;0
A alegria é contagiante. Passe adiante.;0
É chique ser do bem.;0
A energia que você espalha é a mesma que você recebe!;0
O sorriso é a melhor resposta para um olhar.;0
A esperança é a última que morre.;0
Viver não é esperar a tempestade passar. É aprender a dançar na chuva.;0
O sábio cria e a recalcada copia.;0
Quem tem pressa, tropeça.;0
Seja hoje a razão do sorriso de alguém.;0
Você é o que escolhe ser.;0
Sorrisos tímidos me encantam.;0
Sonhar, nunca desistir!;0
Não deixe o medo te impedir de ser feliz.;0
Não polua, evolua!;0
É muita saudade pra pouco eu.;0
Viver é desenhar sem borracha.;0
Fazer o bem, faz bem.;0
Que a felicidade faça a gente de gato e sapato.;0
Aqui a tristeza dá pulos de alegria.;0
Dê valor a quem te dá amor.;0
Escute sua alma.;0
Espalhe o amor por aí!;0
O lar é onde fica o coração.;0
Nunca se afaste de sua fé!;0
A honestidade sempre vence!;0
Cultive as suas amizades.;0
Fazer o outro feliz é ser feliz sem saber.;0
Quem tem fé não tem medo.;0
Tudo o que você precisa é amor.;0
Aproveite as pequenas coisas.;0
Atreva-se a ser simples.;0
Deus acima de tudo e de todos.;0
Não se preocupe, seja feliz!;0
Traga seu próprio sol.;0
Deixe ser.;0
A honestidade nunca sai de moda!;0
Quem supera, vence.;0
O amor é a resposta para tudo!;0
Fica feriado, vai ter bolo!;0
Cultive o bem.;0
Sorria, você foi feito para isso.;0
Bom humor nunca sai de moda.;0
Você me faz sorrir.;0
Valorize quem te ama!;0
Não existe remédio melhor do que a alegria.;0
O melhor da vida é de graça.;0
Viva a vida com todas as cores!;0
Apague o que não te faz feliz!;0
Nada é pequeno quando o amor é grande.;0
Gente legal atrai gente legal.;0
A felicidade não traz dinheiro.;0
Transborde amor!;0
O amor aumenta a gente!;0
Nada é tão contagioso como o exemplo!;0
Melhor lutar por algo, do que viver para nada.;0
Geralmente lutamos muito mais pelos nossos interesses do que pelos nossos direitos.;0
Sonhar é a melhor parte da realidade.;0
Às vezes eu finjo ser normal, mas aí fica chato e eu volto a ser eu mesmo.;0
"O azar não existe; Deus não joga dados.";0
Quem você foi, quem você é e quem você será são três pessoas diferentes.;0
Hipocrisia: arte de exigir dos outros aquilo que não se pratica.;0
Todo mundo quer sinceridade, mas nem todo mundo aguenta ouvir a verdade.;0
