mensagem;label
 Eu tô pensando em suicídio desde o segundo mês de 2020;1
Vejo a vida meio sem sentido. Pessoas que lutam por ela enquanto eu aqui pensando em desistir dela, um dia a morte chega, quem somos nós? Mal sabem elas que quem dita a vida é o tempo, eu odeio esperar. Nem todos possuem os mesmos anseios. Quando penso que estou indo bem, vejo que fracassei. É quando vejo que estou indo bem, pergunto: do que vai adiantar? Quem sabe quando eu ganhar, a vida me leve e deixe o que construí para outro gastar? Essa vida nem sempre tem sentido, se perde quem ama. Fica difícil amar quando se sente dor e saudade. Procurar refúgio nem sempre basta, porque os sentidos estão dentro de nós. A tristeza me persegue, passei a gostar dela, pois ela é mais fiel que a felicidade, que é passageira e vem pela metade. Eu penso em descobrir, o outro lado da moeda, esperar a minha vez ou caminhar até ela!? Enquanto você lê, posso não estar aqui, mas a vida continua, sem sentido.;1
Você não pode mudar o modo como as pessoas o tratam ou o que falam sobre você. Tudo o que pode fazer é mudar como você reage e quem você escolhe estar próximo.;0
Por que eu deveria continuar vivendo, se nada mais faz sentido pra mim?;1
muito se fala da saudade de beber com as amigas mas eu com saudade mesmo é de ALMOÇAR com as amigas;0
Preserve. Pessoas boas estão sendo extintas.;0
Não vale a pena viver ou estar vivo. A vida é uma verdadeira ilusão;1
Os melhores momentos acontecem naturalmente.;0
A honestidade sempre vence!;0
Se A Vida Importasse Para Algo Não Precisaria Ficar Me Cortando Todo Dia Mesmo Eu Tendo 12 Anos Pensam q isso E Besteita!.. (besteira?) então Vc Se Corta Todo Dia,Vc Sofre Bullyng E Não Pode Compartilhar Isso Com Niguem e Você Se Acha Uma Merda a cada Dia E Fingir Ser alguem q não é Para Os Outros...;1
As crises não afastam os amigos. Apenas selecionam.;0
A mente é tudo. Você se torna aquilo que você pensa  ;0
Família: base de tudo.;0
Quando se que estar morto viver n�o faz diferen�a. Por isso quero o suic�dio;1
Confesso que flerto com o suicídio quase que diariamente ele me parece uma linda e fria donzela com abraços frios e sinceros. Todavia o suicídio me parece uma saída simples para um problema impossível de ser solucionado no entanto não julgo aqueles que o fazem.  ;1
Não importa o quanto demorar, vai melhorar. Situações difíceis constroem pessoas fortes no final.;0
Hoje é dia de produzir conteúdo pra live to muito animada;0
Quando eu deixar de ser o que sou, eu irei me tornar o que poderia ser ;0
O truque é desfrutar de sua vida hoje. Não a desperdice esperando dias melhores a frente.;0
"Quer saber? verdade é que meus dias estão sendo vazios e suicidas,por que a cada novo amanhecer sem você,morre um pouco de mim... Eu aqui,fingindo não me importar,fingindo não esta me consumindo aos poucos essa necessidade louca,de ouvir o timbre da sua voz,me acordando pela manhã,pra me dar o seu primeiro: Bom dia!!! A verdade é que estou morrendo de medo de ser o fim do nosso ""Final feliz"" O coração em desespero,no descompasso das batidas,cansado e ferido,lutando contra o orgulho,sem obter êxito... Pego o telefone,disco seu número,e ensaio um pedido de desculpas,mas o frio na barriga me impede de completar a ligação; Não sei se é maior a vergonha ou a covardia,por medo da rejeição... Mas a verdade é que sempre fui orgulhosa de mais pra pedir perdão!!!!";1
quero morrer agora;1
Tenho vontade de morrer no meu sono;1
Há apenas uma maneira de evitar críticas: não faça nada, não diga nada, e não seja nada  ;0
A energia que você espalha é a mesma que você recebe!;0
Espero resistir a vontade de morrer.;1
Quando eu tinha 5 anos de idade, minha mãe me disse que a felicidade era a chave para a vida. Quando eu fui para a escola, eles me perguntaram o que eu queria ser quando crescesse. Eu escrevi feliz. Eles me disseram que eu não entendi a tarefa, e eu disse a eles que eles não entendiam a vida  ;0
O melhor da vida é de graça.;0
Se é para ter crise, que seja de riso.;0
A dor da vida substitui a alegria, a ponto de que a alegria não existe.. sem dinheiro...deprimido...sem telefone... sem dinheiro para apoio à criança...sem dinheiro para dívidas...dinheiro!!! Só quero a morte;1
Você nunca pode atravessar o oceano até que você tenha coragem de perder de vista a costa  ;0
Tire o dia para sorrir.;0
Só desiste da luta quem desconhece o sabor da vitória!;0
As pessoas Precisam entender que Depressão Não é Falta de Deus! É Falta De amor Próprio é a Falta de Motivação, É uma Dor Estranha Q te faz sentir insuficiente,Que te Faz sentir mal em tudo que pratica É a dor que Nasce Do Nada Ou por Algum Motivo ! Depressão não É Frescura, não é Falta de Deus Muito Menos Pra Chamar Atenção, Depressão é uma Doença Entendam!!! Vocês não Tem Noção do quanto é Ruim acordar De Manha Sem Nenhuma vontade de estar Vivo!!;1
80% do sucesso aparece ;0
Companhia negativa nunca te dará uma vida positiva. Analise o que você consegue tolerar em longo prazo.;0
ideação suicida;1
O que está vindo é melhor do que já foi. Não desista da esperança. As coisas boas geralmente acontecem quando você menos espera.;0
"Engraçado como tudo muda em um piscar de olhos Ontem eu era a garotinha perfeita, que obedecia e seguia regras E hoje, eu sou uma garota fria , anti social que adora arranjar confusão E amanhã? Eu espero que ""amanhã "" eu não esteja mais aqui  Ontem eu distribuia sorrisos sinceros hoje eu distribuo sorrisos pra evitar perguntas ,por que ,respondendo sinceramente a pergunta que sempre me é feita ... Não, eu não estou bem";1
Chorar litros, sorrir mares.;0
Minha vida é esta miseria, só posso acabar com ela;1
Caia 7 vezes. Levante-se 8  ;0
o suicidio não é pra se matar...é para tirar a dor de uma alma que já não suporta mais...sejam tolerantes...fiquem em paz...e ajudem qts  mais voces puderem...por favor não desistam das pessoas, eu já desisti de mim...;1
Seja um exemplo. Trate a todos com bondade e respeito, mesmo àqueles que são mal educados com você  não porque eles são legais, mas porque você é.;0
Primeira regra da saúde mental: Aprenda a distinguir quem merece uma EXPLICAÇÃO, quem merece apenas uma RESPOSTA, e quem não merece absolutamente NADA.;0
Nada é mais divertido do que fazer o que as pessoas dizem que você não consegue fazer.;0
Eu não quero ser mais uma ovelha desse sistema, por isso o suicidio é a única solução.;1
Estou tão cansado disso. meu corpo está cansado, minha mente está uma bagunça. Eu realmente quero deitar na cama e nunca me levantar. Eu estou tão cansado da vida.;1
Dê o máximo que puder, mas não se deixe ser usado. Ouça atentamente aos outros, mas não perca sua própria voz.;0
Durma com ideias, acorde com atitudes.;0
Quero que minha vida acabe;1
Não estou agüentando mais, está sendo duro resistir esta dor tão grande que estou sentindo dentro de mim e por viver assim preferi morrer. ;1
Limitações vivem apenas em nossas mentes. Mas se usarmos nossa imaginação, nossas possibilidades tornam-se ilimitadas ;0
Felicidade é saber aproveitar todos os momentos como se fossem os últimos.;0
Conforme envelhecemos e ficamos mais sábios, começamos a perceber o que precisamos e o que é preciso deixar para trás. Às vezes, se afastar é andar para frente.;0
A medida do amor é amar sem medida.;0
Melhor lutar por algo, do que viver para nada.;0
O suicidio é o termino de tudo. Da dor e sofrimento, é o que eu acho;1
A vida n�o tem mais nenhum sentido. Cansei disso, quero morrer;1
suicida;1
Você perde 100% dos tiros que não dá- ;0
A infelicidade tem isto de bom: faz-nos conhecer os verdadeiros amigos.;0
Qualquer tolo pode ficar feliz quando a situação é boa. É preciso uma alma forte com um coração verdadeiro para desenvolver sorrisos de situações que nos fazem chorar.;0
Se os ventos não vão servir, leve os remos ;0
É sempre melhor estar no final de uma escada que você quer subir, do que estar no topo de uma que você não queria.;0
Hoje no brasil morreram centenas de pessoas cada uma delas era um amor de alguém;0
Nenhuma quantidade de dinheiro o fará feliz se você não estiver feliz consigo mesmo.;0
A hora de dizer adeus está próxima. Eu sinto. Morrer será meu alivio;1
Aprendi o que era certo, com a pessoa errada.;0
Hoje será um grande dia,o dia do meu suicídio. Eu não sei oque as pessoas vão pensar ao me ver jogada no chão sangrando. Eu não sei se elas iriam chorar por horas,querendo me ter de volta perto deles. Mais agora é tarde demais pra pensar nisso. Não tive culpa,não fui a culpada de nada oque aconteceu. Eu sempre quis que meus pais tivessem orgulho de mim,do mesmo jeito que eu vejo com os pais das meninas do colégio. Meus amigos? Não sei se sentiriam minha falta,talvez até sentiriam,mais logo vai passar. Não sei oque eles vão pensar quando descobrirem que eu morri,eles não podem pensar em nada agora,eles foram os culpados. Sim,eles foram! Eles sempre fizeram piadinhas de mau gosto comigo,e eu ri pra não deixar eles sem graça na frente de outras pessoas,mas por dentro só eu sabia o quanto aquilo acabava comigo. As meninas do meu colégio? Ah,eu sempre quis ser amiga delas,mas pelo jeito elas não queriam pois viviam me chamando de palavras que é de partir o coração. Mais já passou. Os meninos do meu colégio? Riam de mim. Riam da minha dor. Eles me faziam chorar,me trancavam no banheiro,e me diziam coisas horríveis como se eu fosse um monstro,mas eu sabia que eu não era,mas eles queriam que eu pensasse que fosse. Eu espero que saibam que eles que foram os motivos de eu estar querendo fazer isso. Eu não queria,juro que não queria,mais foi preciso. Espero que eles se arrependem,pois não vou me arrepender do que estou decidida a fazer. [.] Agora são 23:45hrs,estou fazendo meu primeiro corte,está doendo muito. Está começando a piorar,agora é o segundo,daqui a pouco o terceiro,o quarto e logo em seguida estarei cheia de cortes pelo meu corpo inteiro. Disseram pra mim cortar na vertical,seria mais rápido e menos doloroso. É isso que estou fazendo agora. Ah,Minhas forças estão se acabando,acho que chegou a minha hora. ;1
Vá na direção de seus sonhos. Viva a vida que você imaginou  ;0
Quem tem pressa, tropeça.;0
Estou me matando aos poucos.. A cada corte..e é isso que eu desejo;1
eu penso no suicídio a todo dia..entrei em depressão apos perder a audição de uma hora para outra, cada pessoa tem direito de fazer o que quer da sua vida. Se a vida não ta boa é justo quem ta sofrendo dar o fim em tudo.;1
Sofro demais, não aguento, o meu fim está próximo;1
Não tenho sinceras desculpas quanto a tudo isso, minha vida tá um caos, eu não suporto mais sofrer, eu tenho pensamentos absurdos, e cheguei a tal conclusão de querer morrer, eu não sei dizer uma definição certa, eu não tenho um motivo tão óbvio para isto, eu só não suporto mais, desabei, caí, fraquejei Não aguento mas e quero dar um basta nisso Sabe aquele momento que você olha em todas as direções, vê multidões de pessoas, mas você está só, em meio a multidão. Eu gritava, ninguém me ouvia, eu chorava e ninguém enxugava minhas lágrimas, nem sequer perguntavam como eu estava, apenas me ignoravam, era como se eu não existisse Por dias comecei a acreditar que eu fosse só um fantasma, uma alma penada, perambulando pela terra, sem rumo, sem chão, sem um propósito de vida. Então tomei essa decisão, sei que muitos irão me julgar, me mandarão ir ao inferno, mas eu não sei o que vai ser de mim daqui pra frente, não sei para onde vou, eu não sei nem aonde eu estou nesse absoluto momento, eu por diversas vezes tentei firmar meus pés no chão, mas era como se eu estivesse me afogando, procurando terra onde não tinha Então, chegou a minha hora. Peço desculpa a todos, não pude significar nada na vida de ninguém Agora minha alma caminha livre, calma até o infinito até o além Até o eu sei lá para onde Como meu último pedido, peço que escrevam em minha sepultura, essa pequena frase: '' Aqui descansa eternamente aquele que nunca soube o real motivo da sua existência, que nunca soube o valor que tinha sua vida.'' ;1
Quase tudo é possível se você tem tempo e coragem suficientes.;0
A paciência pode ser amarga, mas as sementes que você está plantando agora darão frutos doces.;0
Um dos momentos mais recompensadores na vida é quando você finalmente encontra coragem de deixar o que não pode mudar.;0
Eu me corto , hj mesmo eu me cortei E tem pessoas dizendo que to querendo chamar atenção , mais não é verdade e isso dói demais Queroooooooooooooo  morrer não quero  mais sofre;1
O azar não existe;0
Se eu desistir de existir não se assuste, é só o inicio de um novo fim, E assim, se não nascer o sol não se preocupe, eu estarei dentro de ti!  Não pense que é facil para mim mas eu tentei, por muito tempo eu tentei, e agora abro mão e te juro de coração Eu fiz de tudo para que o tudo não acabasse assim  Espero que seja melhor, espero estar correto, Nessa vida eu não posso viver. estou cada vez mais perto de sorrir, quando eu fechar meus olhos vou sorrir e enfim ser feliz  É o fim eu sei, um dia ele chega pra todos nós, Mas não quero esperar que aconteça, antes que eu me esqueça deixe eu te lembrar te confortar, eu sei que assim vai ser melhor.;1
Devemos crer que somos dotados de alguma coisa, e que essa coisa, deve ser atingida a qualquer custo  ;0
Desculpa, Vida, se não te dei valor! Desculpa se fraquejei, se fui um fracasso no Viver! Desculpa se não vi mais graça em ti, se todo o seu esforço em me mostrar o quanto e íncrível, falhou. Desculpa se meu riso travou e minha alegria se perdeu em tristezas. Desculpa se tudo em mim grita mas o silêncio é que fala mais alto. Desculpa se não entendi seus recados de siga em frente, de vai dar certo, de você consegue... Desculpa! Eu não consegui! Desculpa!;1
Eu me odeio, por isso não quero mais viver. Cansei;1
Tenho transtorno bipolar. Todos os dias  acordo de manhã  já querendo que chega logo a noite Perdi  meus sentimentos  virei um robô   Estou pensando em  dar um fim em tudo isso.. Acabar com esse sofrimento .. Acabar com minha vida;1
Na minha atual situa��o, a morte � a melhor colu��o. Desisto de viver;1
Estou chegando a conclusão de que o que eu realmente preciso é morrer;1
Adormecer e nunca acordar;1
Diário ,Hoje eu acordei ,querendo nunca ter acordado , levantei da cama com a menor vontade de ir seguir a rotina ,só queria ficar deitada e deixar as horas ,dias ,semanas ,se passarem ,eu sei que eu não faria falta na escola, ou na social com os amigos ,sei também ,que eu sou uma vírgula na vida de todos ,mais mesmo assim ,mesmo sabendo de tudo isso ,eu estou aqui ,levantei e vim pra minha rotina ,todos os dias as mesmas coisas e pessoas, todos os dia ,o porteiro da escola olha pra mim e diz, o quanto deus é maravilhoso ,e me diz bom dia ,em seguida entro na sala de aula encontro todos meus grandes amigos ,professores que eu adoro ,só que ah algo errado ,eu já não me importo tanto em ser o destaque na sala ,ou fazer todas as atividades ,e isso todos repararam...cheguei em casa e a porta do quarto da minha mãe estava entre aberta ,vejo ela chorar ,então eu decidi pergunta o por que do choro, ela olha pra mim e responde ,seu irmão vai ser pai ,e que estava chorando de felicidade ,então eu sai e fui pro meu quarto ,comecei a me pergunta se um dia eu daria essa felicidade a ela ,ou se eu conseguiria ter um futuro bom, ou ate mesmo se eu conseguiria ser feliz....eu meio que adormeci ,acordei quase agora ,sabe o que estou começando a achar ? que essa pagina vai ser lida ,me desculpa diário ,mais nossos segredos estão prestes a ser lido ,prometo que quando eu for embora te levo junto! Quando eu era criança ,eu planejava ser uma grande escritora por isso minha mãe te deu para mim ,pra eu poder soltar a imaginação ,e eu tinha medo de morrer antes de realizar todos os meus sonhos ,mais o importante é que agora com 16 anos realizarei meu maior sonho ,desde que tinha 10 anos ..... MÃE se você estiver lendo isso agora ,você esta fazendo parte da realização do meu sonho ,e eu sei que deve estar doendo agora ,mais vai passar ,mãe eu nunca quis me matar ,mais sempre quis matar essa dor ,e agora não sinto mais nada ,obrigada por ter sido a mãe que eu nunca poderia ser um dia . te amo APÓS A SENHORA LER ,PEÇO QUE ENTERRE MEU DIÁRIO JUNTO AO MEU CORPO,PROMETI ISSO A ELE .  ;1
Queria morrer, estou farto disso;1
Não quero viver, já deu ;1
Muitos n�o acreditam que cometerei suicidio n�o me levam a serem depois n�o adianta chorar pela minha morte;1
A dor física te faz sentir vivo e a dor sentimental te faz querer estar morto;1
plano de suicídio;1
me mate agora. Não aguento esse sofrimento e dor dentro de mim;1
O mundo é sem sentido, pra que viver?;1
Vos escrevo está carta de despedida No meio duma tristeza tão Tremenda No meio dum vazio que sou incapaz de voz descrever Vazio que vocês por indiferença nunca pararam para ver Entre vocês por dentro e fora eu chorei Quantas vezes por serem incontaveis já nem sei No meio das vossas gargalhadas me senti tão sozinho O mais estranho e triste coitadinho Sei que nesse momento estão dizendo que fui um covarde Mas para me importar com o que vocês dizem já é tarde Nem se quer uma vez estiveram aqui das muitas vezes que precisei Nenhum de vocês veio me dar abraço das vezes que eu gritei Agora que eu tirei a minha própria vida se fazem de gente boa Como se se preocupassem com a minha pessoa Não acredito nesse vosso amor Nem nessa vossa tristeza e dor Por não me mostraram esse amor quando eu estava vivo? Porque não me fizeram sentir que eu não estava sozinho? Não percam o vosso tempo chorando por mim Pois a minha miseria finalmente tevi fim Creiam, estarei melhor seja onde for encaminhado Do jeito que eu nunca estive ão vosso lado Estarei aqui olhando e torcendo por vocês Pra que sejam muito felizes Pra que ninguém voz faça o que fizeram comigo Pra que ninguém se alimente do vosso desassossego Imaginem toda agente que vocês amam vos ser indiferente E vir chorar e dizer que voz ama só no dia da vossa morte... Se cuidem!!!;1
Não quero acordar, a vida é um sofrimento. Essa é a minha conclusão;1
não quero nunca acordar. Quero dormir para sempre. ;1
Olhei fixamente os trilhos do trem...chorei. Enquanto o trem se aproximava, eu me imaginava alí, destroçada. Chorei mais.  Por que eu me sinto tão triste? Incapaz? Pq nada mais me satisfaz?  Penso frequentemente em dormir e não acordar. como seria?  Alguém seria falta de mim? Se arrependeriam de não ter dito o que queriam?  E eu? quando vou parar de me arrepender?;1
Mano... eu tenho pensado muito em suicídio, não quero conselhos muito menos pena;1
Cansado de ser solitário, quero acabar com essa dor que não tem fim;1
Acabar com a minha vida é a única solução. Não pedirei desculpa por isso;1
